ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300407.SZ,20230316,8.78,8.78,8.41,8.43,8.74,-0.3100000000000005,-3.5469,58113.0,49579.455
300407.SZ,20230315,8.6,8.78,8.55,8.74,8.66,0.08000000000000007,0.9238,48578.0,42268.58
300407.SZ,20230314,9.08,9.14,8.58,8.66,9.13,-0.47000000000000064,-5.1479,129009.0,112938.221
300407.SZ,20230313,8.55,9.48,8.52,9.13,8.63,0.5,5.7937,118755.96,107622.615
300407.SZ,20230310,8.71,8.85,8.61,8.63,8.78,-0.14999999999999858,-1.7084,23434.0,20387.233
300407.SZ,20230309,8.72,8.8,8.65,8.78,8.73,0.049999999999998934,0.5727,22551.84,19703.174
300407.SZ,20230308,8.61,8.76,8.61,8.73,8.71,0.019999999999999574,0.2296,22332.05,19431.285
300407.SZ,20230307,8.88,8.9,8.69,8.71,8.9,-0.1899999999999995,-2.1348,36760.5,32295.502
300407.SZ,20230306,8.78,8.92,8.73,8.9,8.71,0.1899999999999995,2.1814,44078.34,39055.899
300407.SZ,20230303,8.8,8.86,8.67,8.71,8.82,-0.10999999999999943,-1.2472,27117.24,23700.051
300407.SZ,20230302,8.82,9.0,8.73,8.82,8.83,-0.009999999999999787,-0.1133,39392.5,34753.695
300407.SZ,20230301,8.8,8.92,8.66,8.83,8.68,0.15000000000000036,1.7281,56295.85,49523.067
300407.SZ,20230228,8.67,8.84,8.51,8.68,8.49,0.1899999999999995,2.2379,63093.0,54594.726
300407.SZ,20230227,8.53,8.63,8.44,8.49,8.58,-0.08999999999999986,-1.049,41836.0,35622.57
300407.SZ,20230224,8.73,8.85,8.5,8.58,8.64,-0.0600000000000005,-0.6944,35619.99,30717.383
300407.SZ,20230223,8.74,8.81,8.55,8.64,8.73,-0.08999999999999986,-1.0309,45989.14,39815.077
300407.SZ,20230222,8.96,8.96,8.67,8.73,8.99,-0.2599999999999998,-2.8921,84707.15,74329.008
300407.SZ,20230221,8.61,9.2,8.51,8.99,8.61,0.3800000000000008,4.4135,106883.8,95291.907
300407.SZ,20230220,8.3,8.8,8.3,8.61,8.34,0.2699999999999996,3.2374,70286.0,60450.617
300407.SZ,20230217,8.53,8.6,8.31,8.34,8.47,-0.13000000000000078,-1.5348,43036.0,36097.769
300407.SZ,20230216,8.64,8.75,8.43,8.47,8.65,-0.17999999999999972,-2.0809,59302.0,51012.062
300407.SZ,20230215,8.87,8.88,8.63,8.65,8.87,-0.21999999999999886,-2.4803,62731.41,54572.313
300407.SZ,20230214,8.62,8.94,8.5,8.87,8.55,0.3199999999999985,3.7427,82281.67,72143.599
300407.SZ,20230213,8.35,8.68,8.32,8.55,8.37,0.1800000000000015,2.1505,38646.0,33071.571
300407.SZ,20230210,8.4,8.5,8.36,8.37,8.4,-0.030000000000001137,-0.3571,21680.91,18289.469
300407.SZ,20230209,8.35,8.52,8.29,8.4,8.35,0.05000000000000071,0.5988,32455.0,27269.658
300407.SZ,20230208,8.39,8.4,8.28,8.35,8.35,0.0,0.0,16225.0,13553.034
300407.SZ,20230207,8.32,8.39,8.23,8.35,8.28,0.07000000000000028,0.8454,22840.0,18941.778
300407.SZ,20230206,8.3,8.45,8.21,8.28,8.29,-0.009999999999999787,-0.1206,28992.0,24124.888
300407.SZ,20230203,8.19,8.32,8.03,8.29,8.23,0.05999999999999872,0.729,34709.0,28642.786
300407.SZ,20230202,8.2,8.28,8.15,8.23,8.21,0.019999999999999574,0.2436,29089.0,23960.356
300407.SZ,20230201,8.2,8.24,8.13,8.21,8.19,0.02000000000000135,0.2442,28612.0,23382.727
300407.SZ,20230131,7.99,8.25,7.95,8.19,7.98,0.20999999999999908,2.6316,49571.0,40419.062
300407.SZ,20230130,7.92,8.1,7.86,7.98,7.84,0.14000000000000057,1.7857,38442.0,30684.728
300407.SZ,20230120,7.79,7.87,7.79,7.84,7.78,0.05999999999999961,0.7712,14797.0,11595.91
300407.SZ,20230119,7.69,7.89,7.63,7.78,7.69,0.08999999999999986,1.1704,25290.0,19670.301
300407.SZ,20230118,7.63,7.73,7.59,7.69,7.63,0.0600000000000005,0.7864,20213.0,15507.001
300407.SZ,20230117,7.69,7.78,7.6,7.63,7.67,-0.040000000000000036,-0.5215,18910.0,14496.902
300407.SZ,20230116,7.57,7.72,7.47,7.67,7.56,0.11000000000000032,1.455,19474.44,14894.556
300407.SZ,20230113,7.56,7.75,7.54,7.56,7.58,-0.020000000000000462,-0.2639,17879.0,13636.206
300407.SZ,20230112,7.57,7.65,7.39,7.58,7.61,-0.03000000000000025,-0.3942,12828.0,9724.284
300407.SZ,20230111,7.68,7.79,7.61,7.61,7.66,-0.04999999999999982,-0.6527,13559.0,10415.912
300407.SZ,20230110,7.6,7.72,7.55,7.66,7.69,-0.03000000000000025,-0.3901,17170.0,13144.714
300407.SZ,20230109,7.52,7.74,7.52,7.69,7.52,0.17000000000000082,2.2606,43525.46,33330.358
300407.SZ,20230106,7.45,7.65,7.45,7.52,7.55,-0.03000000000000025,-0.3974,22785.85,17226.176
300407.SZ,20230105,7.43,7.55,7.33,7.55,7.43,0.1200000000000001,1.6151,18938.0,14149.892
300407.SZ,20230104,7.31,7.5,7.28,7.43,7.33,0.09999999999999964,1.3643,24534.0,18197.472
300407.SZ,20230103,7.2,7.37,7.08,7.33,7.18,0.15000000000000036,2.0891,32846.0,23781.225
300407.SZ,20221230,7.13,7.22,7.07,7.18,7.09,0.08999999999999986,1.2694,21899.0,15677.807
300407.SZ,20221229,7.29,7.31,7.09,7.09,7.29,-0.20000000000000018,-2.7435,20150.0,14447.78
300407.SZ,20221228,7.42,7.52,7.26,7.29,7.42,-0.1299999999999999,-1.752,12754.0,9352.208
300407.SZ,20221227,7.55,7.61,7.33,7.42,7.45,-0.03000000000000025,-0.4027,15229.0,11319.387
300407.SZ,20221226,7.23,7.51,7.23,7.45,7.25,0.20000000000000018,2.7586,19621.71,14535.011
300407.SZ,20221223,7.22,7.36,7.17,7.25,7.34,-0.08999999999999986,-1.2262,15101.0,10967.967
300407.SZ,20221222,7.46,7.72,7.22,7.34,7.41,-0.07000000000000028,-0.9447,21868.34,16061.617
300407.SZ,20221221,7.56,7.58,7.36,7.41,7.6,-0.1899999999999995,-2.5,16213.34,12090.979
300407.SZ,20221220,7.41,7.65,7.32,7.6,7.3,0.2999999999999998,4.1096,23442.34,17660.81
300407.SZ,20221219,7.59,7.63,7.28,7.3,7.6,-0.2999999999999998,-3.9474,21856.0,16123.495
300407.SZ,20221216,7.78,7.9,7.56,7.6,7.8,-0.20000000000000018,-2.5641,18272.0,14004.074
300407.SZ,20221215,7.71,7.81,7.66,7.8,7.71,0.08999999999999986,1.1673,11194.0,8696.66
