ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300959.SZ,20230316,33.65,33.74,33.05,33.26,33.71,-0.45000000000000284,-1.3349,16174.74,53882.096
300959.SZ,20230315,34.42,34.43,33.59,33.71,34.53,-0.8200000000000003,-2.3747,25166.56,85339.507
300959.SZ,20230314,35.32,35.5,34.32,34.53,34.97,-0.4399999999999977,-1.2582,42147.2,146800.932
300959.SZ,20230313,34.15,34.97,33.62,34.97,34.6,0.36999999999999744,1.0694,41902.37,143298.985
300959.SZ,20230310,33.68,36.2,33.62,34.6,34.06,0.5399999999999991,1.5854,58562.31,205201.664
300959.SZ,20230309,33.17,34.2,32.8,34.06,33.1,0.9600000000000009,2.9003,42452.57,143314.968
300959.SZ,20230308,31.34,33.1,31.3,33.1,31.4,1.7000000000000028,5.414,25963.0,84413.426
300959.SZ,20230307,32.96,33.0,31.36,31.4,32.73,-1.3299999999999983,-4.0636,17534.0,56141.704
300959.SZ,20230306,32.95,33.36,32.6,32.73,32.68,0.04999999999999716,0.153,13576.25,44654.288
300959.SZ,20230303,32.94,33.08,32.42,32.68,33.04,-0.35999999999999943,-1.0896,13061.0,42696.31
300959.SZ,20230302,33.16,33.55,32.92,33.04,33.19,-0.14999999999999858,-0.4519,23670.04,78622.426
300959.SZ,20230301,31.65,33.32,31.52,33.19,31.52,1.6699999999999982,5.2982,35758.86,117429.271
300959.SZ,20230228,31.15,31.93,31.09,31.52,30.82,0.6999999999999993,2.2713,11215.0,35393.382
300959.SZ,20230227,31.4,31.64,30.73,30.82,31.65,-0.8299999999999983,-2.6224,12498.76,38833.96
300959.SZ,20230224,31.74,31.84,31.41,31.65,31.61,0.03999999999999915,0.1265,7557.0,23907.925
300959.SZ,20230223,31.93,31.93,31.36,31.61,31.75,-0.14000000000000057,-0.4409,10057.52,31807.873
300959.SZ,20230222,32.01,32.01,31.4,31.75,32.04,-0.28999999999999915,-0.9051,10618.0,33666.649
300959.SZ,20230221,32.6,32.6,31.66,32.04,32.35,-0.3100000000000023,-0.9583,14758.76,47364.97
300959.SZ,20230220,31.45,33.27,31.16,32.35,31.2,1.1500000000000021,3.6859,23516.37,76149.875
300959.SZ,20230217,32.19,32.68,31.2,31.2,32.48,-1.2799999999999976,-3.9409,19498.36,61815.734
300959.SZ,20230216,32.5,33.86,32.01,32.48,32.73,-0.25,-0.7638,32395.48,106948.834
300959.SZ,20230215,31.94,32.89,31.91,32.73,31.98,0.7499999999999964,2.3452,18362.99,59869.603
300959.SZ,20230214,32.54,32.54,31.91,31.98,32.45,-0.4700000000000024,-1.4484,9837.0,31579.753
300959.SZ,20230213,32.64,32.64,31.99,32.45,32.65,-0.19999999999999574,-0.6126,13784.95,44456.883
300959.SZ,20230210,31.8,33.3,31.74,32.65,31.91,0.7399999999999984,2.319,26513.83,86692.539
300959.SZ,20230209,30.8,31.91,30.8,31.91,31.03,0.879999999999999,2.836,15307.49,48326.33
300959.SZ,20230208,31.72,32.06,31.0,31.03,31.81,-0.7799999999999976,-2.4521,14736.03,46112.006
300959.SZ,20230207,31.52,31.93,31.36,31.81,31.95,-0.14000000000000057,-0.4382,13808.77,43676.787
300959.SZ,20230206,31.0,32.1,30.9,31.95,31.27,0.6799999999999997,2.1746,18842.56,59099.028
300959.SZ,20230203,30.51,31.7,30.31,31.27,30.5,0.7699999999999996,2.5246,20864.0,64385.103
300959.SZ,20230202,30.42,30.65,30.26,30.5,30.35,0.14999999999999858,0.4942,9852.0,30024.334
300959.SZ,20230201,29.81,30.35,29.71,30.35,29.71,0.6400000000000006,2.1542,10795.51,32548.117
300959.SZ,20230131,29.95,29.95,29.57,29.71,29.8,-0.08999999999999986,-0.302,6156.4,18267.492
300959.SZ,20230130,29.77,30.13,29.75,29.8,29.6,0.1999999999999993,0.6757,11102.0,33194.4
300959.SZ,20230120,29.38,29.75,29.01,29.6,29.22,0.38000000000000256,1.3005,9518.0,28122.764
300959.SZ,20230119,28.9,29.23,28.82,29.22,29.05,0.16999999999999815,0.5852,7054.0,20536.469
300959.SZ,20230118,28.37,29.16,28.34,29.05,28.37,0.6799999999999997,2.3969,8758.4,25259.143
300959.SZ,20230117,28.6,28.79,28.35,28.37,28.64,-0.2699999999999996,-0.9427,4255.4,12119.078
300959.SZ,20230116,28.28,28.73,28.0,28.64,28.15,0.490000000000002,1.7407,6579.0,18789.476
300959.SZ,20230113,28.31,28.42,27.83,28.15,28.21,-0.060000000000002274,-0.2127,5464.38,15366.214
300959.SZ,20230112,28.1,28.65,28.1,28.21,28.15,0.060000000000002274,0.2131,3953.0,11215.247
300959.SZ,20230111,28.54,28.85,28.15,28.15,28.54,-0.39000000000000057,-1.3665,7134.09,20298.852
300959.SZ,20230110,28.88,28.99,28.36,28.54,28.6,-0.060000000000002274,-0.2098,4768.0,13653.386
300959.SZ,20230109,28.62,28.95,28.45,28.6,28.62,-0.019999999999999574,-0.0699,4740.84,13585.342
300959.SZ,20230106,29.09,29.09,28.52,28.62,29.14,-0.5199999999999996,-1.7845,8697.0,24991.273
