ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601225.SH,20230317,18.95,19.39,18.75,18.96,18.79,0.1700000000000017,0.9047,374359.21,714581.234
601225.SH,20230316,19.21,19.23,18.75,18.79,19.44,-0.6500000000000021,-3.3436,443031.93,839490.061
601225.SH,20230315,19.5,19.54,19.23,19.44,19.39,0.05000000000000071,0.2579,297849.89,578316.364
601225.SH,20230314,19.62,20.0,19.38,19.39,19.68,-0.28999999999999915,-1.4736,264129.78,518105.636
601225.SH,20230313,19.39,19.74,19.36,19.68,19.34,0.33999999999999986,1.758,253612.73,496093.561
601225.SH,20230310,19.75,19.85,19.3,19.34,19.77,-0.4299999999999997,-2.175,299021.88,581610.938
601225.SH,20230309,19.6,20.2,19.6,19.77,19.58,0.19000000000000128,0.9704,418552.51,833838.333
601225.SH,20230308,19.64,19.76,19.43,19.58,19.69,-0.11000000000000298,-0.5587,231048.41,452089.169
601225.SH,20230307,19.58,20.2,19.5,19.69,19.38,0.3100000000000023,1.5996,612315.57,1216049.207
601225.SH,20230306,19.93,20.02,19.3,19.38,19.96,-0.5800000000000018,-2.9058,572400.94,1113966.211
601225.SH,20230303,20.0,20.05,19.74,19.96,20.0,-0.03999999999999915,-0.2,297790.66,593364.319
601225.SH,20230302,19.92,20.18,19.8,20.0,20.02,-0.019999999999999574,-0.0999,216625.0,432712.894
601225.SH,20230301,20.02,20.28,19.88,20.02,20.0,0.019999999999999574,0.1,327286.12,656845.438
601225.SH,20230228,20.08,20.1,19.81,20.0,20.1,-0.10000000000000142,-0.4975,309956.3,619232.446
601225.SH,20230227,19.78,20.49,19.77,20.1,19.72,0.38000000000000256,1.927,591751.08,1196099.882
601225.SH,20230224,19.71,20.0,19.53,19.72,19.76,-0.0400000000000027,-0.2024,365247.24,720713.146
601225.SH,20230223,20.04,20.31,19.7,19.76,19.59,0.1700000000000017,0.8678,1078370.84,2161294.564
601225.SH,20230222,19.45,19.83,19.31,19.59,19.5,0.08999999999999986,0.4615,469634.98,922690.108
601225.SH,20230221,19.3,19.77,19.04,19.5,19.16,0.33999999999999986,1.7745,573046.01,1117086.399
601225.SH,20230220,18.71,19.2,18.55,19.16,18.5,0.6600000000000001,3.5676,685057.3,1297509.321
601225.SH,20230217,18.38,18.82,18.38,18.5,18.38,0.120000000000001,0.6529,343674.66,641030.384
601225.SH,20230216,18.6,18.81,18.3,18.38,18.54,-0.16000000000000014,-0.863,320698.7,596271.996
601225.SH,20230215,18.75,18.83,18.46,18.54,18.77,-0.23000000000000043,-1.2254,217739.32,405680.791
601225.SH,20230214,18.75,18.82,18.44,18.77,18.66,0.10999999999999943,0.5895,258593.65,483779.148
601225.SH,20230213,18.72,18.76,18.2,18.66,18.81,-0.14999999999999858,-0.7974,576155.81,1065207.59
601225.SH,20230210,19.15,19.16,18.8,18.81,19.14,-0.33000000000000185,-1.7241,263943.01,499707.435
601225.SH,20230209,19.0,19.23,18.91,19.14,18.99,0.15000000000000213,0.7899,218340.23,417244.574
601225.SH,20230208,19.15,19.21,18.98,18.99,19.1,-0.11000000000000298,-0.5759,198463.89,378498.299
601225.SH,20230207,19.2,19.49,19.06,19.1,19.09,0.010000000000001563,0.0524,262718.73,505289.112
601225.SH,20230206,19.09,19.2,18.9,19.09,19.26,-0.1700000000000017,-0.8827,296207.49,563915.129
601225.SH,20230203,19.55,19.55,19.15,19.26,19.62,-0.35999999999999943,-1.8349,285165.71,550169.614
601225.SH,20230202,19.44,19.73,19.31,19.62,19.44,0.17999999999999972,0.9259,319457.65,624133.173
601225.SH,20230201,19.55,19.59,19.25,19.44,19.55,-0.10999999999999943,-0.5627,291052.19,563360.64
601225.SH,20230131,19.62,19.85,19.47,19.55,19.55,0.0,0.0,280040.76,549355.547
601225.SH,20230130,20.1,20.14,19.3,19.55,20.02,-0.46999999999999886,-2.3477,486845.99,953915.303
601225.SH,20230120,19.96,20.19,19.89,20.02,19.89,0.129999999999999,0.6536,345024.73,691686.549
601225.SH,20230119,20.03,20.19,19.6,19.89,19.84,0.05000000000000071,0.252,361951.06,718936.273
601225.SH,20230118,19.7,20.08,19.67,19.84,19.81,0.030000000000001137,0.1514,348093.57,694132.939
601225.SH,20230117,19.77,19.94,19.39,19.81,19.62,0.18999999999999773,0.9684,457872.41,903362.965
601225.SH,20230116,19.72,19.73,19.28,19.62,19.73,-0.10999999999999943,-0.5575,459420.12,898131.659
601225.SH,20230113,19.65,19.9,19.5,19.73,19.66,0.07000000000000028,0.3561,307048.01,603739.724
601225.SH,20230112,19.56,19.74,19.31,19.66,19.63,0.030000000000001137,0.1528,356821.96,696290.517
601225.SH,20230111,19.03,19.8,18.95,19.63,19.0,0.629999999999999,3.3158,859304.08,1674630.988
601225.SH,20230110,19.14,19.35,18.84,19.0,19.15,-0.14999999999999858,-0.7833,245444.56,467787.828
601225.SH,20230109,19.08,19.23,18.77,19.15,18.96,0.18999999999999773,1.0021,495663.47,945655.964
601225.SH,20230106,18.38,19.01,18.31,18.96,18.36,0.6000000000000014,3.268,468762.16,879920.209
601225.SH,20230105,18.31,18.5,18.19,18.36,18.26,0.09999999999999787,0.5476,413507.32,759191.933
601225.SH,20230104,18.72,18.72,17.94,18.26,18.68,-0.41999999999999815,-2.2484,444494.63,812882.706
601225.SH,20230103,18.43,18.72,18.42,18.68,18.58,0.10000000000000142,0.5382,304474.73,565856.206
601225.SH,20221230,18.4,18.68,18.32,18.58,18.38,0.1999999999999993,1.0881,265016.74,491217.587
601225.SH,20221229,18.57,18.64,18.27,18.38,18.67,-0.2900000000000027,-1.5533,306607.83,564736.174
601225.SH,20221228,18.72,18.95,18.57,18.67,18.85,-0.17999999999999972,-0.9549,284724.71,532536.361
601225.SH,20221227,18.86,19.18,18.76,18.85,18.7,0.15000000000000213,0.8021,343740.04,650517.629
601225.SH,20221226,18.32,18.79,18.28,18.7,18.32,0.379999999999999,2.0742,355681.02,660462.534
601225.SH,20221223,18.11,18.38,17.8,18.32,18.11,0.21000000000000085,1.1596,304293.64,552102.598
601225.SH,20221222,18.62,18.7,18.11,18.11,18.47,-0.35999999999999943,-1.9491,367892.12,674449.764
601225.SH,20221221,18.56,18.61,18.37,18.47,18.56,-0.08999999999999986,-0.4849,228108.1,421513.213
601225.SH,20221220,18.6,18.82,18.4,18.56,18.67,-0.11000000000000298,-0.5892,326947.18,606876.798
601225.SH,20221219,19.01,19.2,18.58,18.67,19.12,-0.4499999999999993,-2.3536,391912.94,737697.907
601225.SH,20221216,18.81,19.25,18.81,19.12,18.9,0.22000000000000242,1.164,422506.13,807571.039
601225.SH,20221215,19.13,19.23,18.82,18.9,19.22,-0.3200000000000003,-1.6649,442326.8,836770.859
601225.SH,20221214,19.03,19.29,18.91,19.22,19.0,0.21999999999999886,1.1579,596207.16,1141327.575
601225.SH,20221213,18.86,19.17,18.76,19.0,18.89,0.10999999999999943,0.5823,555111.55,1053302.164
601225.SH,20221212,19.49,19.63,18.75,18.89,19.68,-0.7899999999999991,-4.0142,1149141.49,2181680.906
601225.SH,20221209,19.52,19.68,19.18,19.68,19.52,0.16000000000000014,0.8197,895121.03,1736257.45
601225.SH,20221208,19.36,19.73,19.2,19.52,19.39,0.129999999999999,0.6704,461132.53,899751.479
601225.SH,20221207,19.89,19.9,19.2,19.39,19.94,-0.5500000000000007,-2.7583,679351.75,1320828.76
601225.SH,20221206,19.64,20.05,19.34,19.94,19.74,0.20000000000000284,1.0132,564441.77,1110677.225
