ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
605090.SH,20230317,23.48,23.85,23.19,23.32,23.51,-0.19000000000000128,-0.8082,50323.47,118451.442
605090.SH,20230316,24.02,24.26,23.48,23.51,24.12,-0.6099999999999994,-2.529,38429.08,91506.534
605090.SH,20230315,23.89,24.36,23.78,24.12,23.81,0.3100000000000023,1.302,49563.24,118970.533
605090.SH,20230314,24.41,24.68,23.66,23.81,24.41,-0.6000000000000014,-2.458,33451.97,80293.185
605090.SH,20230313,23.87,24.46,23.71,24.41,24.0,0.41000000000000014,1.7083,50312.22,121471.288
605090.SH,20230310,24.61,24.61,23.97,24.0,24.53,-0.5300000000000011,-2.1606,49148.2,118786.24
605090.SH,20230309,24.85,25.3,24.51,24.53,25.04,-0.509999999999998,-2.0367,49372.7,122311.866
605090.SH,20230308,24.98,25.07,24.38,25.04,25.41,-0.370000000000001,-1.4561,76411.5,189788.077
605090.SH,20230307,25.55,26.02,25.29,25.41,25.45,-0.03999999999999915,-0.1572,96171.83,246727.165
605090.SH,20230306,25.25,25.53,24.78,25.45,25.32,0.129999999999999,0.5134,64619.35,162827.79
605090.SH,20230303,25.61,25.9,25.1,25.32,25.84,-0.5199999999999996,-2.0124,72757.06,184320.067
605090.SH,20230302,25.1,26.16,25.02,25.84,25.0,0.8399999999999999,3.36,137283.6,354892.013
605090.SH,20230301,24.54,25.18,24.5,25.0,24.48,0.5199999999999996,2.1242,93487.28,232527.449
605090.SH,20230228,24.97,24.99,24.23,24.48,24.55,-0.07000000000000028,-0.2851,72589.48,178107.427
605090.SH,20230227,25.25,25.86,24.51,24.55,24.7,-0.14999999999999858,-0.6073,116870.67,294549.767
605090.SH,20230224,24.71,25.0,24.36,24.7,24.84,-0.14000000000000057,-0.5636,77727.07,191354.19
605090.SH,20230223,23.6,25.05,23.6,24.84,23.49,1.3500000000000014,5.7471,185519.86,457999.592
605090.SH,20230222,23.25,23.49,23.11,23.49,23.35,0.13999999999999702,0.5996,59076.48,137910.434
605090.SH,20230221,23.37,23.43,23.05,23.35,23.21,0.14000000000000057,0.6032,46836.76,108951.812
605090.SH,20230220,23.49,23.49,22.91,23.21,23.51,-0.3000000000000007,-1.2761,49140.4,113773.968
605090.SH,20230217,23.6,23.6,23.08,23.51,23.68,-0.16999999999999815,-0.7179,59596.62,139248.795
605090.SH,20230216,23.68,23.88,22.95,23.68,23.73,-0.05000000000000071,-0.2107,73012.3,171391.031
605090.SH,20230215,23.45,23.75,23.4,23.73,23.43,0.3000000000000007,1.2804,63412.03,149736.245
605090.SH,20230214,23.35,23.52,23.27,23.43,23.34,0.08999999999999986,0.3856,49211.96,115174.782
605090.SH,20230213,23.32,23.47,23.17,23.34,23.33,0.010000000000001563,0.0429,49814.8,116218.433
605090.SH,20230210,23.37,23.56,23.17,23.33,23.37,-0.0400000000000027,-0.1712,33503.2,78184.594
605090.SH,20230209,23.21,23.47,23.01,23.37,23.31,0.060000000000002274,0.2574,52729.78,122643.135
