ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300950.SZ,20230316,18.65,18.72,18.13,18.18,18.67,-0.490000000000002,-2.6245,19878.5,36381.295
300950.SZ,20230315,18.35,18.92,18.34,18.67,18.23,0.4400000000000013,2.4136,18766.56,35106.136
300950.SZ,20230314,18.68,18.68,18.03,18.23,18.66,-0.4299999999999997,-2.3044,22612.38,41323.436
300950.SZ,20230313,18.96,19.17,18.53,18.66,19.02,-0.35999999999999943,-1.8927,21307.5,39851.926
300950.SZ,20230310,19.1,19.54,19.02,19.02,19.2,-0.17999999999999972,-0.9375,18140.48,34880.93
300950.SZ,20230309,18.81,19.22,18.78,19.2,18.83,0.370000000000001,1.9649,19196.63,36593.002
300950.SZ,20230308,18.5,18.86,18.48,18.83,18.57,0.259999999999998,1.4001,13368.5,25042.59
300950.SZ,20230307,18.99,19.15,18.51,18.57,19.0,-0.4299999999999997,-2.2632,24517.52,45952.946
300950.SZ,20230306,19.45,19.45,18.75,19.0,19.47,-0.46999999999999886,-2.414,29787.77,56704.89
300950.SZ,20230303,19.2,19.51,18.95,19.47,19.1,0.36999999999999744,1.9372,24308.94,46845.974
300950.SZ,20230302,19.38,19.6,19.05,19.1,19.38,-0.2799999999999976,-1.4448,25056.79,48420.445
300950.SZ,20230301,19.23,19.39,19.12,19.38,19.22,0.16000000000000014,0.8325,17931.99,34601.913
300950.SZ,20230228,19.1,19.37,18.98,19.22,19.1,0.11999999999999744,0.6283,17642.84,33820.465
300950.SZ,20230227,19.31,19.46,19.09,19.1,19.31,-0.2099999999999973,-1.0875,19290.25,37148.185
300950.SZ,20230224,19.79,19.88,19.21,19.31,19.74,-0.4299999999999997,-2.1783,34444.55,66870.911
300950.SZ,20230223,19.78,19.94,19.52,19.74,19.7,0.03999999999999915,0.203,29104.8,57284.018
300950.SZ,20230222,20.0,20.08,19.59,19.7,20.15,-0.4499999999999993,-2.2333,38302.4,75527.444
300950.SZ,20230221,20.38,20.43,19.9,20.15,20.45,-0.3000000000000007,-1.467,43724.46,87883.792
300950.SZ,20230220,20.3,20.85,19.8,20.45,20.29,0.16000000000000014,0.7886,65093.63,131800.32
300950.SZ,20230217,19.88,20.91,19.85,20.29,19.68,0.6099999999999994,3.0996,88674.03,180658.518
300950.SZ,20230216,20.54,21.03,19.48,19.68,20.52,-0.8399999999999999,-4.0936,83481.56,169719.635
300950.SZ,20230215,20.63,20.66,20.2,20.52,20.84,-0.3200000000000003,-1.5355,80125.68,163540.777
300950.SZ,20230214,19.58,21.3,19.45,20.84,19.58,1.2600000000000016,6.4351,125956.69,257654.247
300950.SZ,20230213,19.22,19.75,19.15,19.58,19.29,0.28999999999999915,1.5034,34004.79,66352.19
300950.SZ,20230210,19.29,19.51,19.13,19.29,19.29,0.0,0.0,22805.0,44070.494
300950.SZ,20230209,19.0,19.34,18.91,19.29,19.14,0.14999999999999858,0.7837,28040.27,53946.168
300950.SZ,20230208,19.48,19.48,19.04,19.14,19.34,-0.1999999999999993,-1.0341,32527.0,62342.154
300950.SZ,20230207,19.07,19.34,18.88,19.34,19.12,0.21999999999999886,1.1506,38121.79,72930.43
300950.SZ,20230206,18.75,19.12,18.66,19.12,18.85,0.2699999999999996,1.4324,38129.5,72452.833
300950.SZ,20230203,19.05,19.08,18.59,18.85,19.0,-0.14999999999999858,-0.7895,29586.53,55579.789
300950.SZ,20230202,18.89,19.15,18.71,19.0,19.0,0.0,0.0,33084.07,62647.662
300950.SZ,20230201,18.51,19.0,18.48,19.0,18.49,0.5100000000000016,2.7582,45665.73,86005.148
300950.SZ,20230131,18.46,18.53,18.32,18.49,18.42,0.06999999999999673,0.38,27644.3,50958.167
300950.SZ,20230130,18.41,18.76,18.38,18.42,18.3,0.120000000000001,0.6557,38598.45,71740.486
300950.SZ,20230120,18.22,18.45,18.05,18.3,18.05,0.25,1.385,27988.58,50963.323
300950.SZ,20230119,17.72,18.13,17.61,18.05,17.83,0.22000000000000242,1.2339,32134.62,57608.497
300950.SZ,20230118,18.16,18.16,17.46,17.83,18.51,-0.6800000000000033,-3.6737,55881.47,99160.134
300950.SZ,20230117,18.25,18.58,18.06,18.51,18.25,0.26000000000000156,1.4247,30425.33,55756.097
300950.SZ,20230116,18.0,18.29,17.93,18.25,18.07,0.17999999999999972,0.9961,18273.82,33213.656
300950.SZ,20230113,17.82,18.1,17.81,18.07,17.97,0.10000000000000142,0.5565,16356.5,29413.408
300950.SZ,20230112,17.74,18.23,17.55,17.97,17.72,0.25,1.4108,22056.4,39666.3
300950.SZ,20230111,18.06,18.06,17.69,17.72,17.93,-0.21000000000000085,-1.1712,17029.27,30414.979
300950.SZ,20230110,18.1,18.12,17.82,17.93,18.03,-0.10000000000000142,-0.5546,19776.27,35470.847
300950.SZ,20230109,18.19,18.33,17.9,18.03,18.01,0.019999999999999574,0.111,21853.03,39559.95
300950.SZ,20230106,18.0,18.22,17.9,18.01,17.98,0.030000000000001137,0.1669,18876.53,34074.404
300950.SZ,20230105,17.89,18.15,17.64,17.98,17.9,0.08000000000000185,0.4469,23210.36,41583.499
300950.SZ,20230104,17.6,18.0,17.6,17.9,17.7,0.1999999999999993,1.1299,22643.64,40349.655
300950.SZ,20230103,17.25,17.76,17.25,17.7,17.41,0.28999999999999915,1.6657,23215.25,40853.029
300950.SZ,20221230,17.01,17.54,16.95,17.41,16.99,0.4200000000000017,2.472,22627.37,39281.953
300950.SZ,20221229,16.87,17.03,16.73,16.99,16.88,0.10999999999999943,0.6517,15612.76,26351.931
300950.SZ,20221228,17.41,17.41,16.85,16.88,17.4,-0.5199999999999996,-2.9885,16442.22,28011.519
300950.SZ,20221227,17.3,17.58,17.11,17.4,17.25,0.14999999999999858,0.8696,18281.1,31719.252
300950.SZ,20221226,16.7,17.29,16.68,17.25,16.83,0.4200000000000017,2.4955,12701.66,21729.613
300950.SZ,20221223,16.57,16.9,16.52,16.83,16.75,0.0799999999999983,0.4776,12566.09,20976.782
300950.SZ,20221222,17.0,17.27,16.65,16.75,17.0,-0.25,-1.4706,14786.34,24934.437
300950.SZ,20221221,17.38,17.44,16.91,17.0,17.38,-0.379999999999999,-2.1864,18172.48,31052.332
300950.SZ,20221220,17.13,17.58,17.01,17.38,17.34,0.03999999999999915,0.2307,14452.0,25005.333
300950.SZ,20221219,17.32,17.57,17.07,17.34,17.39,-0.05000000000000071,-0.2875,21684.42,37495.671
300950.SZ,20221216,18.09,18.09,17.3,17.39,18.07,-0.6799999999999997,-3.7631,29432.82,51694.671
300950.SZ,20221215,17.93,18.14,17.74,18.07,17.93,0.14000000000000057,0.7808,14473.5,26056.644
300950.SZ,20221214,18.0,18.3,17.87,17.93,18.12,-0.19000000000000128,-1.0486,20890.12,37704.188
300950.SZ,20221213,18.74,18.74,18.09,18.12,18.66,-0.5399999999999991,-2.8939,32409.02,59276.43
300950.SZ,20221212,18.93,18.93,18.41,18.66,19.12,-0.46000000000000085,-2.4059,34447.64,64311.088
300950.SZ,20221209,18.45,19.45,18.31,19.12,18.23,0.8900000000000006,4.8821,68057.05,129788.116
300950.SZ,20221208,18.49,18.66,18.23,18.23,18.63,-0.3999999999999986,-2.1471,23669.98,43586.151
300950.SZ,20221207,18.56,18.82,18.4,18.63,18.62,0.00999999999999801,0.0537,24774.8,46029.198
300950.SZ,20221206,18.99,19.05,18.58,18.62,18.99,-0.36999999999999744,-1.9484,26920.65,50414.751
300950.SZ,20221205,19.2,19.22,18.76,18.99,19.2,-0.21000000000000085,-1.0938,30655.16,58033.736
300950.SZ,20221202,18.92,19.23,18.89,19.2,18.95,0.25,1.3193,34014.89,65008.779
300950.SZ,20221201,18.95,19.22,18.82,18.95,18.83,0.120000000000001,0.6373,29739.37,56379.44
300950.SZ,20221130,18.99,19.17,18.63,18.83,19.0,-0.1700000000000017,-0.8947,27916.42,52678.033
300950.SZ,20221129,18.41,19.18,18.41,19.0,18.65,0.3500000000000014,1.8767,31169.8,58761.639
300950.SZ,20221128,18.19,18.67,18.05,18.65,18.51,0.13999999999999702,0.7563,25477.01,46864.176
300950.SZ,20221125,19.25,19.39,18.45,18.51,19.1,-0.5899999999999999,-3.089,40037.87,75373.165
300950.SZ,20221124,19.3,19.58,19.1,19.1,19.26,-0.16000000000000014,-0.8307,31170.92,60162.902
300950.SZ,20221123,19.93,19.93,18.7,19.26,19.93,-0.6699999999999982,-3.3618,49300.37,94324.362
300950.SZ,20221122,20.59,20.63,19.65,19.93,20.78,-0.8500000000000014,-4.0905,52906.12,106325.062
300950.SZ,20221121,20.35,20.78,19.96,20.78,20.42,0.35999999999999943,1.763,46030.33,93908.62
